k,t,x,y,z
370,3.14334728033473,-732.910365608394,-1056.6548913008,-2232.50488136145
371,3.15581589958159,-735.796248556629,-1060.82805930466,-2236.51602199281
372,3.16828451882845,-738.195950409811,-1066.99806767668,-2240.49382296915
373,3.18075313807531,-740.423843244723,-1072.50968288895,-2244.93958567747
374,3.19322175732218,-742.714109078169,-1077.90211062733,-2250.33680622554
375,3.20569037656904,-745.071830078573,-1083.05385373976,-2256.44247800765
376,3.2181589958159,-747.118741794474,-1087.60502836289,-2261.93727935502
377,3.23062761506276,-748.725565558012,-1091.65977646651,-2266.21743876309
378,3.24309623430962,-750.291708085862,-1095.89063354104,-2270.4566078001
379,3.25556485355649,-751.514507326169,-1100.39955495849,-2274.7683155666
380,3.26803347280335,-752.188276832374,-1104.974975168,-2279.22868422769
381,3.28050209205021,-752.912181317179,-1109.5465611831,-2283.03992737712
382,3.29297071129707,-754.090782408697,-1113.07088847646,-2286.73491297683
383,3.30543933054393,-755.213491077681,-1115.80601734837,-2290.10060311561
384,3.31790794979079,-755.125243914605,-1118.11498324731,-2293.45050215523
385,3.33037656903766,-753.617167075802,-1121.37957767598,-2295.69217261003
386,3.34284518828452,-752.608800455836,-1123.91171669742,-2298.45178707847
387,3.35531380753138,-752.211595700881,-1125.5022082236,-2302.06777927584
388,3.36778242677824,-752.137680784719,-1126.25019883128,-2306.05713669926
389,3.3802510460251,-751.553903505534,-1127.63873528545,-2310.62462319426
