"X","Y","Z"
"-432","-3109","548"
"-433","-3111","548"
"-434","-3111","548"
"-433","-3110","548"
"-433","-3110","549"
"-434","-3110","550"
"-434","-3110","550"
"-434","-3109","549"
"-434","-3108","548"
"-434","-3108","549"
"-434","-3108","551"
"-434","-3108","552"
"-434","-3108","552"
"-434","-3109","552"
"-434","-3110","553"
"-433","-3110","555"
"-433","-3110","556"
"-433","-3110","556"
"-432","-3110","555"
"-432","-3109","553"
"-432","-3108","552"
"-432","-3108","553"
"-432","-3108","554"
"-432","-3108","555"
"-432","-3108","555"
"-432","-3108","554"
"-432","-3107","553"
"-432","-3107","553"
"-433","-3109","554"
"-434","-3110","553"
"-434","-3110","552"
"-433","-3110","552"
"-433","-3110","553"
"-433","-3111","554"
"-432","-3112","555"
"-432","-3112","556"
"-432","-3112","556"
"-431","-3112","557"
"-430","-3112","558"
"-430","-3111","558"
"-430","-3110","558"
"-431","-3110","558"
"-432","-3110","558"
"-432","-3109","558"
"-432","-3108","558"
"-432","-3108","557"
"-431","-3108","555"
"-431","-3109","555"
"-431","-3110","555"
"-430","-3110","555"
"-429","-3110","556"
"-428","-3110","556"
"-428","-3110","556"
"-428","-3111","556"
"-429","-3112","557"
"-430","-3111","559"
"-429","-3110","560"
"-428","-3110","560"
"-428","-3110","561"
"-429","-3110","562"
"-429","-3110","563"
"-428","-3110","564"
"-428","-3110","562"
"-429","-3110","560"
"-430","-3110","559"
"-431","-3110","557"
"-432","-3110","556"
"-432","-3110","555"
"-432","-3110","553"
"-432","-3110","552"
"-432","-3110","552"
"-432","-3110","552"
"-432","-3110","552"
"-432","-3110","551"
"-432","-3110","550"
"-432","-3110","551"
"-432","-3110","552"
"-432","-3110","552"
"-432","-3110","551"
"-432","-3110","550"
"-432","-3109","549"
"-432","-3108","549"
"-432","-3108","550"
"-432","-3108","550"
"-432","-3107","549"
"-432","-3106","547"
"-432","-3106","545"
"-433","-3106","544"
"-434","-3106","544"
"-434","-3106","544"
"-434","-3106","544"
"-434","-3106","545"
"-435","-3106","546"
"-436","-3106","546"
"-436","-3106","547"
"-436","-3106","549"
"-435","-3107","550"
"-434","-3108","550"
"-433","-3107","549"
"-433","-3106","548"
"-433","-3106","548"
"-432","-3106","547"
"-432","-3107","545"
"-432","-3107","544"
"-432","-3106","543"
"-433","-3106","542"
"-434","-3106","543"
"-434","-3107","545"
"-434","-3108","545"
"-434","-3108","544"
"-435","-3107","545"
"-436","-3106","546"
"-436","-3106","546"
"-436","-3105","546"
"-436","-3104","546"
"-436","-3104","545"
"-436","-3104","544"
"-436","-3104","544"
"-436","-3105","544"
"-436","-3105","543"
"-436","-3105","543"
"-435","-3106","544"
"-434","-3106","544"
"-434","-3106","544"
"-433","-3106","543"
"-432","-3106","542"
"-432","-3105","542"
"-432","-3105","543"
"-432","-3106","544"
"-432","-3106","544"
"-432","-3106","543"
"-433","-3106","542"
"-434","-3106","543"
"-435","-3107","544"
"-436","-3107","544"
"-436","-3106","544"
"-435","-3106","544"
"-434","-3106","543"
"-434","-3106","542"
"-434","-3106","542"
"-433","-3106","541"
"-432","-3105","541"
"-432","-3105","541"
"-432","-3106","540"
"-431","-3106","541"
"-431","-3106","542"
"-432","-3106","542"
"-432","-3106","542"
"-433","-3106","542"
"-434","-3106","542"
"-434","-3106","542"
"-434","-3105","542"
"-435","-3104","542"
"-435","-3104","542"
"-434","-3104","541"
"-434","-3104","540"
"-434","-3104","541"
"-434","-3104","541"
"-434","-3104","540"
"-434","-3105","540"
"-434","-3106","540"
"-434","-3106","540"
"-434","-3107","541"
"-434","-3108","541"
"-435","-3108","541"
"-435","-3108","541"
"-434","-3108","540"
"-434","-3108","540"
"-434","-3107","540"
"-433","-3107","540"
"-432","-3107","540"
"-432","-3107","540"
"-432","-3107","541"
"-432","-3106","542"
"-433","-3107","542"
"-433","-3108","542"
"-432","-3107","542"
"-432","-3107","543"
"-434","-3104","538"
"-436","-3100","534"
"-432","-3104","540"
"-430","-3106","542"
"-437","-3104","542"
"-439","-3107","542"
"-437","-3109","542"
"-436","-3106","542"
"-434","-3104","540"
"-434","-3105","541"
"-434","-3106","541"
"-434","-3106","540"
"-434","-3106","541"
"-434","-3106","542"
"-434","-3106","542"
"-434","-3106","542"
"-434","-3106","542"
"-434","-3106","542"
"-434","-3106","542"
"-434","-3106","542"
"-434","-3106","542"
"-434","-3106","543"
"-434","-3107","544"
"-434","-3108","545"
"-433","-3109","546"
"-432","-3110","547"
"-432","-3110","548"
"-432","-3111","548"
"-432","-3112","548"
"-432","-3112","548"
"-432","-3112","548"
"-432","-3112","547"
"-432","-3111","545"
"-432","-3110","544"
"-432","-3110","543"
"-432","-3110","542"
"-432","-3109","542"
"-432","-3109","542"
"-432","-3110","543"
"-433","-3110","544"
"-434","-3110","544"
"-434","-3110","544"
"-434","-3111","545"
"-433","-3112","547"
"-432","-3112","548"
"-432","-3112","548"
"-432","-3112","549"
"-432","-3112","549"
"-431","-3113","548"
"-430","-3113","548"
"-429","-3112","548"
"-428","-3111","549"
"-428","-3110","549"
"-429","-3110","549"
"-429","-3110","550"
"-428","-3110","551"
"-428","-3110","552"
"-428","-3109","553"
"-428","-3109","554"
"-428","-3110","554"
"-427","-3111","555"
"-426","-3112","556"
"-426","-3112","556"
"-426","-3113","556"
"-429","-3115","552"
"-430","-3116","552"
"-426","-3115","558"
"-424","-3114","558"
"-430","-3115","554"
"-430","-3113","554"
"-424","-3110","554"
"-425","-3111","553"
"-426","-3112","554"
"-426","-3112","554"
"-426","-3111","554"
"-426","-3110","554"
"-426","-3110","554"
"-426","-3110","554"
"-426","-3110","553"
"-427","-3111","552"
"-428","-3112","552"
"-428","-3112","553"
"-429","-3112","554"
"-430","-3112","554"
"-430","-3112","554"
"-430","-3113","555"
"-430","-3113","556"
"-430","-3112","556"
"-429","-3112","556"
