t,Bx,By,Bz
240.28,-618.6323699034,-2424.08387543251,-2567.35519250193
240.3,-619.058583097843,-2424.14651635692,-2568.01584558463
240.32,-619.480511105315,-2424.20210575193,-2568.65768111442
240.34,-619.898984336018,-2424.24972782838,-2569.27955781279
240.36,-620.312078498794,-2424.29113704474,-2569.88206879227
240.38,-620.656008246735,-2424.32517032168,-2570.39904324621
240.4,-620.919662801341,-2424.35580927661,-2570.82370206075
240.42,-621.106429661089,-2424.38623245468,-2571.16392814169
240.44,-621.216295936614,-2424.41669560665,-2571.42327106875
240.46,-621.254810369122,-2424.44712327811,-2571.60407261281
240.48,-621.246943647426,-2424.47978268199,-2571.78066190653
240.5,-621.255767402768,-2424.51522508094,-2572.01760096302
240.52,-621.298744032985,-2424.55303444716,-2572.33112147403
240.54,-621.373453012583,-2424.5931532023,-2572.72112285566
240.56,-621.492696991112,-2424.6460943394,-2573.17761219217
240.58,-621.675933387861,-2424.73680144484,-2573.67853250937
240.6,-621.892117208769,-2424.86202627315,-2574.15052430147
240.62,-622.142155458816,-2425.02299122271,-2574.59498236131
240.64,-622.426375688589,-2425.22018870344,-2575.01064754363
240.66,-622.756240724675,-2425.46156202597,-2575.34422521469
240.68,-623.129263388299,-2425.7447712459,-2575.55430712475
240.7,-623.51723664502,-2426.0463395871,-2575.66276417038
240.72,-623.918449441041,-2426.36517480267,-2575.6710917893
240.74,-624.337440909827,-2426.70088780081,-2575.57483249628
240.76,-624.783656386106,-2427.06245967222,-2575.44624571942
240.78,-629.24517839731,-2434.34514187896,-2569.23908038754
240.8,-633.56103768415,-2441.50953769911,-2563.12253084277
240.82,-637.724999283509,-2448.54965029387,-2557.04987052357
240.84,-641.733901885909,-2455.45852862345,-2550.97687895172
240.86,-645.541540254984,-2462.19413920676,-2544.83401414753
240.88,-649.266827115062,-2468.85876332673,-2538.65133237906
240.9,-649.276950021637,-2468.86277427002,-2538.65321933557
240.92,-649.283174469314,-2468.86678505117,-2538.65453796123
