t,Bx,By,Bz
236.5,-647,-2470,-2535
236.52,-648,-2470,-2536
236.54,-648,-2470,-2535
236.56,-647,-2470,-2534
236.58,-645,-2470,-2533
236.6,-645,-2470,-2531
236.62,-646,-2469,-2531
236.64,-646,-2468,-2532
236.66,-646,-2468,-2532
236.68,-646,-2467,-2532
236.7,-646,-2466,-2533
236.72,-646,-2467,-2535
236.74,-646,-2468,-2536
236.76,-646,-2468,-2535
236.78,-646,-2468,-2533
236.8,-646,-2468,-2533
236.82,-646,-2467,-2534
236.84,-646,-2466,-2534
236.86,-646,-2467,-2534
236.88,-647,-2468,-2534
236.9,-648,-2468,-2534
236.92,-648,-2468,-2533
236.94,-649,-2468,-2532
236.96,-650,-2468,-2533
236.98,-649,-2468,-2534
237,-648,-2468,-2535
237.02,-647,-2469,-2535
237.04,-646,-2470,-2534
237.06,-646,-2470,-2533
237.08,-646,-2470,-2533
237.1,-646,-2470,-2533
237.12,-646,-2470,-2532
237.14,-647,-2470,-2532
237.16,-647,-2470,-2533
237.18,-646,-2471,-2533
237.2,-646,-2472,-2532
237.22,-646,-2471,-2533
237.24,-645,-2470,-2534
237.26,-644,-2467,-2534
237.28,-645,-2470,-2533
237.3,-648,-2471,-2532
237.32,-648,-2470,-2532
237.34,-646,-2472,-2532
237.36,-646,-2470,-2532
237.38,-647,-2469,-2532
237.4,-647,-2468,-2531
237.42,-647,-2468,-2530
237.44,-648,-2468,-2530
237.46,-647,-2469,-2530
237.48,-646,-2470,-2530
237.5,-646,-2470,-2530
237.52,-646,-2470,-2531
237.54,-645,-2470,-2531
237.56,-644,-2470,-2531
237.58,-644,-2471,-2532
237.6,-644,-2472,-2532
237.62,-644,-2471,-2532
237.64,-645,-2470,-2532
237.66,-646,-2470,-2531
237.68,-646,-2469,-2530
237.7,-647,-2468,-2530
237.72,-648,-2469,-2530
237.74,-647,-2471,-2530
237.76,-646,-2472,-2530
237.78,-645,-2472,-2530
237.8,-645,-2471,-2530
237.82,-646,-2469,-2530
237.84,-646,-2468,-2530
237.86,-646,-2467,-2531
237.88,-646,-2466,-2532
237.9,-646,-2467,-2532
237.92,-646,-2468,-2533
237.94,-646,-2469,-2534
237.96,-645,-2470,-2535
237.98,-644,-2470,-2536
238,-645,-2470,-2536
238.02,-646,-2470,-2535
238.04,-646,-2470,-2535
238.06,-646,-2470,-2535
238.08,-646,-2471,-2533
238.1,-645,-2472,-2532
238.12,-644,-2471,-2532
238.14,-644,-2470,-2532
238.16,-645,-2470,-2533
238.18,-646,-2470,-2534
238.2,-646,-2470,-2533
238.22,-646,-2470,-2533
238.24,-646,-2470,-2533
238.26,-645,-2470,-2532
238.28,-645,-2470,-2533
238.3,-646,-2470,-2534
238.32,-647,-2470,-2534
238.34,-648,-2470,-2534
238.36,-648,-2470,-2534
238.38,-648,-2470,-2534
238.4,-647.005705711154,-2470.98900929603,-2532.99641582057
238.42,-646.009405407332,-2470.97644131474,-2531.99273410263
238.44,-646.011105515889,-2469.96800908843,-2530.989739399
238.46,-646.012520853188,-2469.95948301544,-2529.98790874011
238.48,-647.01280848096,-2469.95384179669,-2530.9849911491
238.5,-648.013101217582,-2469.94890079622,-2531.98292841043
238.52,-647.01323096676,-2470.94210914772,-2531.97834546552
238.54,-646.013558649203,-2471.93335082142,-2531.97165254664
238.56,-645.01623125526,-2470.92477513971,-2532.96457896193
238.58,-644.020184468907,-2470.91789367658,-2533.95737044728
238.6,-644.027989742536,-2471.91163211919,-2532.94691534244
238.62,-644.03493519628,-2470.90508094958,-2532.93808890301
238.64,-644.042734893803,-2468.8963356445,-2533.93112090884
238.66,-645.050305890357,-2468.88747683417,-2533.92575251717
238.68,-646.056573101947,-2469.87973730915,-2534.91967324737
238.7,-646.064081735828,-2468.87203914868,-2535.91529705567
238.72,-647.071882605106,-2468.86425803699,-2534.91079473221
238.74,-648.078715432412,-2470.85599037078,-2533.90392182234
238.76,-648.087715254718,-2470.84916338179,-2533.89582651931
238.78,-647.098745255234,-2469.84218793784,-2532.88781198793
238.8,-646.110755220717,-2469.8351987487,-2531.88105286339
238.82,-646.124977874867,-2469.8255140179,-2531.87366005244
238.84,-646.136668250076,-2469.81659591085,-2532.86608460033
238.86,-646.147053570763,-2469.80752533721,-2532.86034861378
238.88,-646.156928108713,-2469.79634684226,-2531.85612252431
238.9,-645.165046984019,-2470.78756630512,-2532.85153180013
238.92,-644.172112129799,-2472.77790310758,-2532.8461741118
238.94,-647.180271858073,-2473.76743798146,-2535.84047183586
238.96,-650.185598077657,-2471.76019389444,-2535.83262001768
238.98,-650.190688091625,-2469.75354568964,-2531.82484899009
239,-647.194987862844,-2471.74595754464,-2527.81715662758
239.02,-646.197817174808,-2470.74055011281,-2528.80970867469
239.04,-648.201841138738,-2467.73494667709,-2532.80334350391
239.06,-647.206975355667,-2468.72967317444,-2531.79728713304
239.08,-646.213313604185,-2469.72429869896,-2531.79087419716
239.1,-647.219578681838,-2469.72149784277,-2532.78432449088
239.12,-647.22460601541,-2472.7157676173,-2534.77718623583
239.14,-648.230719426503,-2472.70809846268,-2533.77027613574
239.16,-647.236681882814,-2466.69901323657,-2531.76291837085
239.18,-649.242856498292,-2466.68906459648,-2531.75533149317
239.2,-650.250247943598,-2469.68070727789,-2532.74751109022
239.22,-646.258581558909,-2468.6717221613,-2533.73915105344
239.24,-646.267208817134,-2468.66356776259,-2533.73183565
239.26,-647.274679315931,-2469.6578753392,-2533.72462415669
239.28,-647.28247132098,-2469.65278325113,-2533.71829571616
239.3,-646.29006066288,-2469.64782938319,-2533.71251177925
239.32,-646.296861681393,-2469.64231983974,-2532.70688907827
239.34,-646.303760251924,-2469.63681636288,-2532.70105552105
239.36,-645.309320552947,-2469.63210583988,-2532.6944171509
239.38,-645.313614714796,-2468.62461159896,-2532.68762381275
239.4,-646.318933654662,-2467.61746981586,-2533.67958557791
239.42,-646.324181065089,-2467.6115323062,-2533.67166180035
239.44,-646.32974506813,-2467.60434701554,-2532.66354786877
239.46,-646.337116317229,-2468.59680785228,-2531.65734686016
239.48,-646.345545749501,-2469.59066253293,-2531.65132949231
239.5,-646.353082207086,-2468.58634043749,-2531.64548256359
239.52,-646.360496299918,-2467.58170701744,-2531.64162822631
239.54,-646.368297610207,-2467.57688782974,-2532.63846679291
239.56,-646.376593015841,-2467.5731895469,-2534.63589036721
239.58,-646.383199323329,-2467.56699429071,-2535.63224966256
239.6,-645.390752571091,-2467.56123047718,-2535.62906474197
239.62,-644.399391917635,-2467.55580661674,-2535.6259764202
239.64,-645.407938180356,-2468.54832758058,-2535.62364395887
239.66,-645.414706622449,-2469.54130772604,-2534.62109466396
239.68,-645.422289038159,-2469.53363213734,-2533.61908992194
239.7,-646.429515591034,-2470.52645387875,-2533.61788137693
239.72,-646.43593765337,-2470.51997340747,-2533.61664923827
239.74,-646.4428456985,-2468.5125162315,-2534.61717838974
239.76,-646.44866097605,-2467.50536460533,-2534.6181339147
239.78,-651.413230838225,-2463.16633113075,-2534.27476614662
239.8,-654.441511522536,-2459.4740391747,-2534.50642083761
239.82,-657.117412679762,-2457.90886309489,-2533.80719845154
239.84,-658.211761190263,-2458.48850552847,-2531.53925263599
239.86,-655.87082206692,-2459.10254038792,-2528.88816821772
239.88,-652.503095031185,-2460.16627580556,-2527.96111014604
239.9,-647.5620034227,-2460.99461097981,-2528.05855615386
239.92,-639.142630424118,-2461.55876001589,-2526.772755569
239.94,-630.300715241479,-2463.79892733125,-2525.55512637716
239.96,-620.753119574289,-2464.64884672243,-2524.37509505039
239.98,-610.040277564557,-2465.31275403961,-2523.07445028267
240,-600.446199599244,-2464.34229269638,-2522.85707113738
240.02,-593.177212145613,-2459.81799841079,-2522.8728274793
